classage;Alsace;Aquitaine;Auvergne;Basse.Normandie;Bourgogne;Bretagne;Centre;Champagne.Ardenne;Corse;Franche.Comté;Guadeloupe;Haute.Normandie;Ile.de.France;Languedoc.Roussillon;Limousin;Lorraine;Martinique;Midi.Pyrénées;Nord.Pas.de.Calais;Pays.de.la.Loire;Picardie;Poitou.Charentes;Provence.Alpes.Côte.d.Azur;Reunion;Rhône.Alpes
1-[16,20);45864;75776;29850;36484;38134;78494;60469;32731;6611;28260;11573;46489;291248;64572;16071;57286;10333;69398;108369;90675;48553;39880;116935;26931;160586
1-[20,25);59147;92740;38047;40403;43996;93932;69636;42197;9126;35413;10871;56188;402925;78219;19699;75030;10542;88242;135781;106260;57771;47669;142729;28319;201072
1-[25,30);56569;88702;35311;39202;43044;88557;68220;39679;9138;34722;8190;54549;422533;72007;17788;72017;8031;84365;129068;102170;56774;45605;134811;24663;194157
1-[30,35);58918;95979;37260;41209;44978;95839;72826;39936;9581;36393;8136;55690;431868;75246;19321;72685;7652;90469;130712;112701;59043;48576;141790;23961;204595
1-[35,40);59182;100797;40552;42209;47122;100888;76984;40385;9905;36222;10711;56505;431101;77492;20656;72012;9527;90650;128654;116120;61297;51067;144528;26316;207385
1-[40,45);67727;115020;46156;48572;54505;112812;87682;45055;11541;41062;13306;62962;428177;90856;24322;80261;12601;100949;136492;126550;68021;59250;164973;30191;227477
1-[45,50);68939;114253;47025;49845;55685;110097;87103;45506;11641;40883;14561;61895;407070;90993;24503;82357;14419;102796;132922;122021;67276;59887;167517;31427;222234
1-[50,55);65063;109878;46938;49914;55407;108671;84877;44709;10808;38667;14473;60872;373554;86154;25024;81768;14548;98525;130412;118116;64446;59794;158897;27106;203324
1-[55,60);61482;106191;46635;50578;55848;104702;84195;43761;10572;37137;12099;59428;332685;84064;25649;79509;12522;93917;122787;113193;62003;60410;150006;23467;187497
1-[60,65);57000;108988;48636;50844;58317;105850;85127;44065;10627;38064;10781;57441;302643;89028;27325;75042;10678;93587;116953;113301;60715;62911;151677;17341;182018
1-[65,70);39718;87077;37696;37849;45224;81020;66088;32735;8652;29304;8698;42971;226789;76677;21091;53217;8708;74570;82584;85554;43655;50119;133565;12613;148606
1-[70,75);32956;62269;26704;26326;32390;57668;46868;22299;7455;20830;6558;28199;153394;54748;15127;40343;6787;53516;52616;60030;28295;35905;99920;9045;105249
1-[75,80);26022;56341;24166;25310;28616;53452;43170;20007;5773;18084;4895;25166;124958;46583;14653;35495;5870;50000;47112;56195;25034;33608;83717;6259;88403
1-[80,85);18590;43642;18289;19207;22067;39605;33164;14874;4391;13569;3020;18441;93550;36474;11997;26417;3594;40417;35750;41779;18924;25966;63881;3440;66488
1-[85,90);8833;24758;10180;10595;12790;21263;19077;7879;2127;7268;1842;10174;50584;19773;7065;12546;2016;22898;18400;24221;9969;15414;35606;1569;36686
