Régions;2010;2011;2012;2013;2014
Alsace;1309;1333;1358;1464;1505
Aquitaine;1988;2056;2119;2169;2232
Auvergne;742;728;765;797;844
Basse-Normandie;702;715;738;752;773
Bourgogne;916;935;943;984;1003
Bretagne;1412;1450;1514;1602;1694
Centre;1478;1538;1618;1656;1726
Champagne-Ardenne;753;813;816;852;876
Corse;174;179;193;189;188
Franche-Comté;533;515;534;574;601
Guadeloupe;NA;584;595;608;649
Guyane;NA;183;179;191;200
Haute-Normandie;1031;1058;1086;1141;1181
Ile-de-France;6494;6692;6884;7261;7642
Languedoc-Roussillon;1926;1989;2016;2057;2133
Limousin;451;452;463;488;498
Lorraine;1333;1376;1403;1431;1523
Martinique;NA;NA;521;566;597
Midi-Pyrénées;1612;1602;1624;1693;1776
Nord-Pas-de-Calais;3021;3126;3225;3392;3444
Pays de la Loire;1580;1694;1746;1777;1828
Picardie;1032;1054;1107;1131;1189
Poitou-Charentes;763;762;788;806;834
Provence-Alpes-Côte d'Azur;3599;3697;3805;3867;4007
Réunion;1241;1324;1419;1478;1552
Rhône-Alpes;3206;3303;3434;3580;3786
